Id,ObservationTypeId,Code,Label,DataType,LookupGroupName,IsRequired,SortOrder
650e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440001,disease_name,Disease Name,Lookup,Diseases,true,1
650e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440001,affected_area,Affected Area %,Long,,false,2
650e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440001,plant_count,Plant Count,Long,,false,3
650e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440001,symptoms,Symptoms,String,,false,4
650e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440003,pest_name,Pest Name,Lookup,Pests,true,1
650e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440003,pest_count,Pest Count,Long,,false,2
650e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440003,damage_level,Damage Level,Long,,false,3
650e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655440003,infestation_area,Infestation Area,String,,false,4
650e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655440006,crop_type,Crop Type,Lookup,Crop Types,true,1
650e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440006,weight_kg,Weight (kg),Long,,false,2
650e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440006,quality,Quality,String,,false,3
650e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655440006,yield_per_area,Yield per Area,Long,,false,4
650e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655440007,temperature,Temperature (°C),Long,,false,1
650e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655440007,humidity,Humidity (%),Long,,false,2
650e8400-e29b-41d4-a716-446655440015,550e8400-e29b-41d4-a716-446655440007,wind_speed,Wind Speed,Long,,false,3
650e8400-e29b-41d4-a716-446655440016,550e8400-e29b-41d4-a716-446655440007,precipitation,Precipitation,Long,,false,4
650e8400-e29b-41d4-a716-446655440017,550e8400-e29b-41d4-a716-446655440008,ph_level,pH Level,Long,,false,1
650e8400-e29b-41d4-a716-446655440018,550e8400-e29b-41d4-a716-446655440008,moisture,Moisture %,Long,,false,2
650e8400-e29b-41d4-a716-446655440019,550e8400-e29b-41d4-a716-446655440008,temperature,Temperature (°C),Long,,false,3
650e8400-e29b-41d4-a716-446655440020,550e8400-e29b-41d4-a716-446655440008,nutrient_level,Nutrient Level,Long,,false,4
